level|power|protection|dexterity|weight|skill																		
118	217770	66795	52730	107160	135735													
119	222820	68190	53810	109500	138760													
120	227935	69605	54905	111870	141820													
121	233125	71035	56010	114265	144925													
122	238385	72485	57125	116695	148070													
123	243720	73945	58255	119155	151255													
124	249125	75430	59395	121645	154480													
125	254605	76925	60550	124165	157745													
126	260160	78440	61715	126715	161050													
127	265790	79975	62895	129295	164400													
128	271490	81520	64090	131905	167790													
129	277265	83090	65295	134550	171220													
130	283115	84670	66510	137225	174690													
131	289045	86270	67740	139930	178205													
132	295045	87890	68985	142665	181765													
133	301125	89525	70240	145435	185365													
134	307280	91175	71510	148230	189005													
135	313510	92845	72790	151065	192690													
136	319820	94535	74085	153925	196415													
137	326205	96240	75390	156820	200185													
138	332670	97960	76710	159750	204000													
139	339210	99700	78045	162705	207855													
140	345835	101455	79390	165700	211755													
141	352535	103230	80750	168720	215700													
142	359315	105025	82120	171775	219685													
143	366170	106835	83505	174865	223715													
144	373110	108665	84905	177985	227790													
145	380130	110510	86315	181140	231910													
146	387230	112375	87740	184325	236075													
147	394410	114255	89180	187545	240280													
148	401675	116155	90630	190795	244535													
149	409020	118075	92095	194085	248830													
150	416445	120010	93570	197400	253175													
151	423950	121965	95065	200755	257560													
152	431545	123935	96565	204140	261995													
153	439220	125925	98085	207560	266475													
154	446975	127935	99615	211010	270995													
155	454815	129960	101160	214500	275565													
156	462745	132005	102720	218020	280185													
157	470755	134070	104290	221570	284845													
158	478850	136150	105875	225160	289555													
159	487025	138250	107470	228785	294305													
160	495295	140370	109085	232440	299110													
161	503645	142510	110710	236130	303955													
162	512080	144665	112350	239855	308850													
163	520605	146840	114000	243620	313790													
164	529215	149035	115670	247415	318780													
165	537910	151245	117350	251240	323815													
166	546695	153475	119040	255105	328900													
167	555570	155725	120750	259005	334030													
168	564530	157995	122470	262940	339210													
169	573580	160280	124205	266910	344435													
170	582715	162585	125955	270915	349710													
171	591945	164910	127715	274955	355035													
172	601260	167255	129495	279030	360405													
173	610665	169620	131285	283145	365825													
174	620160	172000	133090	287290	371295													
175	629750	174405	134905	291475	376810													
176	639425	176825	136740	295690	382375													
177	649195	179265	138585	299945	387990													
178	659050	181720	140445	304235	393655													
179	669000	184200	142320	308565	399365													
180	679045	186695	144205	312925	405130													
181	689180	189215	146110	317325	410945													
182	699405	191750	148025	321760	416805													
183	709730	194305	149955	326235	422715													
184	720140	196880	151900	330740	428680													
185	730650	199475	153860	335285	434690													
186	741250	202090	155835	339870	440755													
187	751945	204725	157820	344490	446865													
188	762735	207375	159820	349145	453030													
189	773615	210050	161840	353835	459245													
190	784595	212740	163870	358565	465510													
191	795670	215455	165910	363335	471825													
192	806840	218185	167970	368140	478195													
193	818105	220940	170045	372980	484610													
194	829470	223710	172130	377860	491080													
195	840930	226500	174235	382775	497605													
196	852485	229310	176350	387730	504175													
197	864140	232145	178480	392725	510800													
198	875890	234995	180625	397755	517480													
199	887735	237865	182785	402820	524210													
200	899685	240760	184960	407930	530990													
201	911730	243670	187150	413075	537825													
202	923870	246600	189355	418255	544710													
203	936115	249555	191570	423475	551650													
204	948455	252525	193805	428735	558640													
205	960900	255515	196050	434035	565685													
206	973440	258530	198310	439370	572785													
207	986085	261560	200590	444745	579935													
208	998825	264615	202880	450160	587135													
209	1011670	267690	207505	455610	594395													
210	1024615	270785	207505	461100	601705													
211	1037660	273895	209845	466630	609700													
212	1050805	277030	212195	472200	616490													
213	1064055	280185	214560	477810	623960													
214	1077410	283365	216940	483455	631490													
215	1090860	286560	219335	489145	639070													
216	1104420	289775	221740	494870	646705													
217	1118080	293015	224165	500635	654395													
218	1131845	296270	226605	506440	662140													
219	1145710	299550	229060	512285	669935													
220	1159685	302850	231530	518170	677790													
221	1173760	306170	234015	524095	685700													
222	1187940	309515	236515	530060	693665													
223	1202230	312875	239030	536065	701685													
224	1216620	316260	241560	542110	709755													
225	1231115	319665	244100	548195	717890													
226	1245720	323090	246660	554320	726075													
227	1260425	326535	249235	560485	734315													
228	1275240	330000	251825	566690	742610													
229	1290165	333490	254430	572940	750965													
230	1305190	337000	257050	579225	750965													
231	1320330	340530	259685	585550	767840													
232	1335570	344080	262335	591920	776360													
233	1350925	347655	265000	598330	784940													
234	1366380	351245	267685	604780	793575													
235	1381950	354860	270380	611270	802270													
236	1397625	358500	273090	617800	802270													
237	1413410	362155	275815	624375	819820													
238	1429305	365835	278560	630990	828685													
239	1445310	369535	281315	637645	837605													
240	1461425	373260	284090	644340	846585													
241	1477650	377000	286880	651080	855620													
242	1493985	380765	289680	657860	864710													
243	1510430	384550	292500	664680	873860													
244	1526985	388360	295335	671545	883070													
245	1543650	392190	298185	678450	892335													
246	1560430	396040	301050	685395	901660													
247	1577320	399915	303930	692385	911040													
248	1594325	403805	306825	699415	920480													
249	1611435	407725	309740	706490	929980													
250	1628665	411660	312665	713605	939540													
251	1646005	415620	315610	720760	949155													
252	1663460	419600	318570	727960	958830													
253	1681025	423605	321540	735200	968565													
254	1698705	427630	324530	742485	978360													
255	1716500	431675	327540	749815	988210													
256	1734410	435745	330560	757180	998125													
257	1752430	439835	333595	764595	1008095													
258	1770570	443950	336650	772050	1018125													
259	1788825	448085	339715	779545	1028215													
260	1807190	452240	342800	787090	1038365													
261	1824675	460620	349015	794670	1048575													
262	1844275	460620	349015	802300	1058845													
263	1862995	464845	352150	809970	1069175													
264	1881825	469090	355295	817680	1079565													
265	1900775	473355	358460	825440	1090015													
266	1919840	477645	361635	833240	1100530													
267	1939025	481955	364830	841080	1111100													
268	1958325	486290	368040	848970	1121730													
269	1977745	490645	371270	856900	1132425													
270	1997280	495025	374510	864875	1143180													
271	2016935	499425	377770	872890	1153995													
272	2036710	503850	381045	880950	1164870													
273	2056600	508295	384335	889060	1175810													
274	2076615	512765	387640	897205	1186810													
275	2096745	517255	390965	905400	1197870													
276	2116995	521770	394300	913640	1208990													
277	2137365	526305	397655	921920	1220175													
278	2157860	530860	401025	930245	1231420													
279	2178470	535445	404415	938620	1242730													
280	2199200	540045	407815	947030	1254100													
281	2220055	544675	411235	955490	1265530													
282	2241030	549320	414670	963545	1277025													
283	2262125	553995	418120	972545	1288580													
284	2283340	558690	421590	998460	1300200													
285	2304680	563405	425070	989775	1311880													
286	2326145	568145	428570	998460	1323625													
287	2347725	572910	432090	1007185	1335435													
288	2369435	577695	435620	1015960	1347305													
289	2391265	582500	439170	1024780	1359240													
290	2413220	587335	442735	1033640	1371235													
291	2435295	592190	446315	1042550	1383295													
292	2457495	597065	449910	1051505	1395420													
293	2479820	601965	453525	1060500	1407605													
294	2502270	606890	457155	1069545	1419855													
295	2524845	611835	460805	1078635	1432170													
296	2547545	616805	464465	1087770	1444550													
297	2570370	621800	468145	1096950	1456990													
298	2593320	626815	471840	1106180	1469500													
299	2616395	631855	475550	1115450	1382070													
300	2639595	636915	479280	1124770	1494705													
